Date,SeasonNumber,SeasonVersion,Player,MatchId,Map,Category,Playlist,Input,Queue,PreCsr,PostCsr,WinningTeam,WinningTeamCSR,WinningTeamMMR,WinningTeamScore,WinningTeamFinalScore,WinningTeamWinPercentChance,LosingTeam,LosingTeamCSR,LosingTeamMMR,LosingTeamScore,LosingTeamFinalScore,LosingTeamWinPercentChance,Rank,WasAtStart,WasAtEnd,WasInProgressJoin,Mmr,Outcome,Accuracy,DamageDone,DamageTaken,ShotsFired,ShotsLanded,ShotsMissed,KD,KDA,TotalKills,KillsMelee,KillsGrenade,KillsHeadshot,KillsPower,AssistsEmp,AssistsDriver,AssistsCallout,Deaths,Assists,Betrayals,Suicides,MaxSpree,VehicleDestroys,VehicleHijacks,ExpectedKills,ExpectedDeaths,Score,Perfects,Medals,LengthSeconds
"2023-03-08 05:49:41",3,1,GrrdMlmr,82b141dd-5b18-4e06-9afa-787c349aab6d,Cliffhanger,"One Flag CTF","Corrosion 24/7",CrossPlay,Open,0,0,,,,,,,,,,,,,2,1,1,0,,Win,44.12,2266,1560,238,105,133,1.83,5.66,11,0,0,1,3,0,0,0,6,2,0,0,4,0,0,10,10,1335,0,4,484
"2023-03-08 06:02:27",3,1,GrrdMlmr,35892758-65f3-4670-b1eb-f8a5311eab44,Chasm,"Escalation Slayer","Corrosion 24/7",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,48.19,5421,4514,359,173,186,1.20,4.66,18,2,0,1,7,0,0,0,15,5,0,0,4,0,0,13,12,2050,0,7,600
"2023-03-08 06:23:23",3,1,GrrdMlmr,3b1ef184-6765-456a-82c3-4df465c99b37,Cliffhanger,"King of the Hill","Corrosion 24/7",CrossPlay,Open,0,0,,,,,,,,,,,,,5,1,1,0,,Loss,46.15,2767,3362,390,180,210,0.64,-1.66,7,2,0,2,0,0,0,0,11,7,0,0,3,0,0,11,12,1525,0,0,448
"2023-03-11 02:31:51",3,1,GrrdMlmr,1c5675a0-1ac8-4ebd-a922-e9bb963aa67f,"Live Fire","Doubles Slayer","Ranked Doubles",CrossPlay,Open,0,0,,,,,,,,,,,,,3,1,1,0,,Loss,51.62,3676,4875,339,175,164,1.30,3.66,13,4,1,8,0,0,0,1,10,2,0,0,4,0,0,12,11,1410,0,7,602
"2023-03-11 02:46:38",3,1,GrrdMlmr,0d8f1e9f-1637-492c-b7e6-a3d8511bfd3c,Aquarius,"Doubles Slayer","Ranked Doubles",CrossPlay,Open,0,0,,,,,,,,,,,,,3,1,1,0,,Loss,46.15,3248,3612,325,150,175,1.10,1.66,11,1,0,6,0,0,0,1,10,2,0,0,3,0,0,11,10,1210,0,4,548
"2023-03-11 03:10:35",3,1,GrrdMlmr,3eb34c1f-e1d3-4b9d-91ca-b7554ba348bc,Argyle,"Doubles Slayer","Ranked Doubles",CrossPlay,Open,0,0,,,,,,,,,,,,,1,1,1,0,,Win,51.17,3884,3660,299,153,146,1.89,9.66,17,2,0,12,2,0,0,2,9,5,0,0,7,0,0,15,11,1970,0,11,687
"2023-03-11 03:23:15",3,1,GrrdMlmr,f5023150-091d-4385-bcfa-3807ac07e05f,"Live Fire","Doubles Slayer","Ranked Doubles",CrossPlay,Open,0,802,,,,,,,,,,,,,1,1,1,0,,Win,48.23,4173,4473,452,218,234,1.27,3.66,14,5,0,7,1,0,0,2,11,2,0,0,4,0,0,15,11,1520,0,7,670
"2023-03-11 06:53:48",3,1,GrrdMlmr,6ecd1097-2b7f-45fe-a444-e18c091c682a,Cliffhanger,"Escalation Slayer","Corrosion 24/7",CrossPlay,Open,0,0,,,,,,,,,,,,,6,1,1,0,,Loss,32.12,3288,4581,330,106,224,0.73,-2.33,11,1,0,3,2,0,0,0,15,5,0,0,5,0,0,11,11,1350,0,1,528
"2023-03-11 07:05:52",3,1,GrrdMlmr,c22cc332-999c-46ca-a1b1-ca1a89117f38,Cliffhanger,"One Flag CTF","Corrosion 24/7",CrossPlay,Open,0,0,,,,,,,,,,,,,2,1,1,0,,Win,42.62,4624,4887,603,257,346,0.88,-0.66,15,1,1,3,0,0,0,4,17,4,0,0,4,0,0,16,19,1790,0,4,815
"2023-03-12 06:32:51",3,1,GrrdMlmr,cd85a6bc-5d71-4968-8b52-46954a8c1d00,Oasis,CTF,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,3,1,1,0,,Win,44.06,7084,2158,1153,508,645,3.80,15.66,19,1,0,2,1,0,0,0,5,5,0,1,11,3,1,17,9,2075,0,11,849
"2023-03-12 06:50:08",3,1,GrrdMlmr,b1b3044f-8199-4276-8f13-bc3519a7935d,Oasis,CTF,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,15,1,1,0,,Loss,36.89,4309,3865,759,280,479,1.09,2.00,12,0,0,1,1,0,0,2,11,3,0,0,7,2,0,12,11,1770,0,3,852
"2023-03-12 07:06:56",3,1,GrrdMlmr,28737154-f599-4a2b-b691-686025517ef0,Oasis,Slayer,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,16,1,1,0,,Loss,44.76,3716,2179,534,239,295,0.88,0.33,7,2,0,2,0,0,0,1,8,4,0,0,2,1,1,9,7,885,0,6,574
"2023-03-12 07:22:03",3,1,GrrdMlmr,d596c053-99b3-496a-aff5-3e0db43857f7,Oasis,"Total Control","Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,13,1,1,0,,Loss,49.3,1727,2803,215,106,109,0.44,-4.00,4,0,0,0,2,0,0,0,9,3,0,0,2,1,0,9,6,650,0,2,458
"2023-03-12 07:32:32",3,1,GrrdMlmr,2ecb0a41-d115-4da5-8353-179e0a06b9d2,Oasis,CTF,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,13,1,1,0,,Loss,24.28,4027,3553,729,177,552,0.86,0.66,12,0,4,1,1,0,0,3,14,8,0,0,6,2,0,11,14,1750,0,9,953
"2023-03-12 08:02:33",3,1,GrrdMlmr,c3c6fa94-61fb-4750-9580-796b1c5abded,Oasis,Slayer,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,2,1,1,0,,Win,26.35,4653,1957,1218,321,897,3.75,12.66,15,1,0,0,0,0,0,3,4,5,0,1,8,0,0,11,7,1680,0,5,623
"2023-03-13 01:29:13",3,1,GrrdMlmr,b30ca734-c0a5-4121-b804-35e82c83d6f0,Oasis,Slayer,"Big Team Battle",CrossPlay,Open,0,0,,,,,,,,,,,,,2,1,1,0,,Win,30.2,4537,2066,490,148,342,1.83,7.66,11,0,0,1,5,0,1,4,6,8,0,0,4,4,1,9,8,1625,0,6,635
